fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,Symbol
2021-09-30,USD,48278000000,16426000000,4878000000,4878000000,4950000000,4916000000,31852000000,9323000000,17888000000,19023000000,5426000000,13597000000,885000000,None,855000000,326000000,2666000000,33748000000,9635000000,2862000000,467000000,1972000000,2234000000,24113000000,262000000,18149000000,1972000000,16193000000,18149000000,3242000000,3353000000,14460000000,29673000000,45361000000,9000000,576252803,MMM
2021-06-30,USD,48307000000,16343000000,4695000000,805000000,4842000000,4991000000,31995000000,9358000000,17774000000,19294000000,5572000000,13722000000,836000000,31000000,805000000,377000000,2440000000,33791000000,9440000000,2931000000,475000000,1981000000,2249000000,24351000000,871000000,18232000000,1981000000,16267000000,18232000000,3181000000,3297000000,14448000000,29236000000,44824000000,9000000,578638253,MMM
2021-03-31,USD,47180000000,15345000000,4636000000,501000000,4458000000,4817000000,31866000000,9240000000,17465000000,19351000000,5697000000,13654000000,532000000,31000000,501000000,398000000,2373000000,33352000000,8363000000,2670000000,482000000,None,0,24989000000,876000000,18169000000,1368000000,16819000000,18169000000,3126000000,3330000000,13760000000,29020000000,44255000000,9000000,579675002,MMM
2020-12-31,USD,47344000000,14982000000,4634000000,404000000,4239000000,4705000000,34027000000,9421000000,17229000000,19637000000,5835000000,13802000000,602000000,164000000,404000000,325000000,2440000000,34413000000,7948000000,2561000000,498000000,806000000,0,28402000000,93000000,18783000000,806000000,17989000000,18783000000,3278000000,3462000000,12867000000,29404000000,43821000000,9000000,577749638,MMM
2020-09-30,USD,45390000000,14110000000,4121000000,440000000,3984000000,4623000000,31314000000,9216000000,17236000000,19461000000,5926000000,13535000000,474000000,34000000,440000000,426000000,1759000000,33447000000,7410000000,2208000000,390000000,None,1421000000,26037000000,857000000,19582000000,1169000000,18429000000,19582000000,2840000000,3324000000,11880000000,29570000000,43285000000,9000000,576821878,MMM
2020-06-30,USD,45079000000,14106000000,4219000000,247000000,4168000000,4459000000,31007000000,9089000000,16854000000,19393000000,6033000000,13360000000,281000000,34000000,247000000,446000000,1651000000,34164000000,7282000000,1975000000,412000000,248000000,1486000000,26882000000,855000000,19926000000,248000000,19276000000,19926000000,2702000000,3275000000,10857000000,29699000000,42759000000,9000000,576019442,MMM
2020-03-31,USD,46212000000,15090000000,4253000000,224000000,4217000000,4821000000,31156000000,9165000000,16835000000,19503000000,6191000000,13312000000,258000000,34000000,224000000,971000000,1605000000,36003000000,9134000000,2207000000,422000000,244000000,3248000000,26869000000,847000000,21072000000,244000000,19247000000,21072000000,2776000000,3225000000,10147000000,29817000000,42345000000,9000000,575196371,MMM
2019-12-31,USD,44659000000,12971000000,9000000,577000000,4134000000,4791000000,32552000000,9333000000,16791000000,19823000000,6379000000,13444000000,756000000,113000000,568000000,891000000,1674000000,34533000000,9222000000,2228000000,430000000,2795000000,2527000000,27230000000,111000000,19359000000,247000000,17518000000,21886000000,3056000000,3275000000,10063000000,29849000000,42135000000,9000000,575184835,MMM
2019-09-30,USD,42550000000,18020000000,29970000000,30000000000,4007000000,5020000000,24576000000,8891000000,16617000000,13257000000,2847000000,10410000000,76000000,46000000,30000000,515000000,1548000000,31786000000,7821000000,2079000000,605000000,259000000,1960000000,24081000000,116000000,18794000000,241000000,17479000000,18794000000,2735000000,3235000000,10702000000,29865000000,42085000000,9000000,576500000,MMM
2019-06-30,USD,38969000000,14051000000,2849000000,139000000,4300000000,5374000000,24964000000,8998000000,16567000000,13538000000,2964000000,10574000000,185000000,46000000,139000000,440000000,1503000000,28827000000,7265000000,2130000000,603000000,263000000,892000000,21683000000,121000000,15777000000,247000000,14914000000,15777000000,3169000000,3268000000,10083000000,29828000000,41362000000,9000000,577700000,MMM
2019-03-31,USD,39140000000,14374000000,2938000000,539000000,4538000000,5173000000,24015000000,8829000000,16295000000,13658000000,3047000000,10611000000,585000000,46000000,539000000,473000000,1482000000,29383000000,7125000000,2309000000,None,790000000,790000000,21727000000,84000000,16328000000,790000000,15580000000,16328000000,3071000000,3228000000,9703000000,29668000000,41159000000,9000000,577500000,MMM
2018-12-31,USD,36500000000,13709000000,13000000,393000000,4366000000,5020000000,23106000000,8738000000,16135000000,12708000000,2657000000,10051000000,575000000,107000000,380000000,349000000,1345000000,26652000000,7244000000,2266000000,617000000,1211000000,1194000000,21036000000,75000000,14156000000,17000000,13411000000,15350000000,2775000000,3010000000,9796000000,29626000000,40636000000,9000000,576575168,MMM
2018-09-30,USD,37275000000,14419000000,3185000000,338000000,4437000000,5329000000,22883000000,8630000000,16135000000,12849000000,2726000000,10123000000,365000000,27000000,338000000,385000000,1377000000,26964000000,7336000000,2029000000,None,1307000000,1307000000,19628000000,None,13539000000,5000000,13539000000,14846000000,3031000000,2906000000,10248000000,28510000000,40120000000,9000000,585600000,MMM
2018-06-30,USD,36778000000,13890000000,2801000000,385000000,4238000000,5383000000,22914000000,8645000000,16113000000,12894000000,2787000000,10107000000,411000000,26000000,385000000,370000000,1349000000,26350000000,8902000000,1871000000,None,3225000000,3225000000,17448000000,None,11294000000,7000000,11294000000,14519000000,2867000000,2900000000,10365000000,27617000000,39442000000,9000000,591400000,MMM
2018-03-31,USD,38575000000,14818000000,3491000000,604000000,4295000000,5252000000,23784000000,8864000000,16310000000,13455000000,2885000000,10570000000,631000000,27000000,604000000,344000000,1438000000,27536000000,8959000000,1874000000,None,3449000000,3449000000,18577000000,None,12211000000,2000000,12211000000,15660000000,2791000000,2985000000,10977000000,26178000000,38453000000,9000000,596200000,MMM
2017-12-31,USD,37987000000,14277000000,13000000,1076000000,4034000000,4911000000,24151000000,8866000000,16048000000,13449000000,2936000000,10513000000,1290000000,177000000,1076000000,266000000,1395000000,26365000000,7687000000,1945000000,550000000,1853000000,1853000000,20297000000,None,13198000000,13000000,12096000000,13198000000,2709000000,2962000000,11563000000,25887000000,39115000000,9000000,594884237,MMM
2017-09-30,USD,35237000000,13656000000,2831000000,586000000,3975000000,5156000000,21598000000,8658000000,16001000000,11396000000,2175000000,9221000000,742000000,156000000,586000000,1108000000,1266000000,23035000000,6598000000,1824000000,None,835000000,835000000,16437000000,None,10828000000,1000000,10828000000,11663000000,2709000000,1861000000,12146000000,25706000000,39454000000,9000000,597600000,MMM
2017-06-30,USD,33957000000,12641000000,2654000000,140000000,3838000000,4919000000,21333000000,8566000000,15726000000,11306000000,2201000000,9105000000,294000000,154000000,140000000,1090000000,1207000000,22313000000,5697000000,1782000000,None,213000000,213000000,16616000000,None,11088000000,11307000000,11088000000,11301000000,2604000000,1767000000,11591000000,25466000000,38793000000,9000000,598100000,MMM
2017-03-31,USD,33292000000,11901000000,2173000000,2314000000,3612000000,4722000000,21408000000,8551000000,15395000000,11527000000,2269000000,9258000000,291000000,150000000,141000000,1253000000,1102000000,22252000000,5995000000,1701000000,None,909000000,909000000,16257000000,None,10802000000,909000000,10802000000,11711000000,2420000000,1691000000,10989000000,25354000000,38094000000,9000000,598100000,MMM
2016-12-31,USD,32906000000,11726000000,2398000000,2678000000,3385000000,4392000000,21198000000,8516000000,14983000000,11486000000,2320000000,9166000000,574000000,146000000,280000000,450000000,1178000000,22563000000,6219000000,1798000000,None,972000000,972000000,16793000000,None,11478000000,800000000,10678000000,11478000000,2472000000,1648000000,10298000000,25434000000,37907000000,9000000,596726278,MMM
2021-09-30,USD,3300000000,1738100000,486100000,685200000,357700000,623800000,1561900000,539500000,721000000,867000000,315200000,551800000,199100000,None,199100000,71400000,116100000,1403500000,982600000,649600000,100400000,6800000,6800000,420900000,31400000,0,6800000,99600000,137800000,326200000,192500000,1896500000,1357700000,2731700000,295300000,159188790,AOS
2021-06-30,USD,3140200000,1585700000,444800000,581900000,330400000,607000000,1554500000,539700000,706400000,865900000,318000000,547900000,137100000,None,137100000,66400000,106900000,1323900000,907000000,612400000,92900000,6800000,6800000,416900000,33900000,0,6800000,99600000,140300000,287800000,188300000,1816300000,1344400000,2641600000,295300000,160241814,AOS
